,DATABASE_NAME,SCHEMA,NAME,TYPE,SELF_REFERENCING_COL_NAME,DATABASE
103,V8_NEWYORK_NY_LIVE,COMPS,ABATEMENT,TABLE,,production
104,V8_NEWYORK_NY_LIVE,COMPS,ACRECURV,TABLE,,production
105,V8_NEWYORK_NY_LIVE,COMPS,ACREDISC,TABLE,,production
106,V8_NEWYORK_NY_LIVE,COMPS,ADDRESS,TABLE,,production
107,V8_NEWYORK_NY_LIVE,COMPS,AHCODE,TABLE,,production
108,V8_NEWYORK_NY_LIVE,COMPS,AHDATE,TABLE,,production
109,V8_NEWYORK_NY_LIVE,COMPS,AHTAXAUTH,TABLE,,production
110,V8_NEWYORK_NY_LIVE,COMPS,AHTAXAUTHLINE,TABLE,,production
111,V8_NEWYORK_NY_LIVE,COMPS,ALT_APP_HIST,TABLE,,production
112,V8_NEWYORK_NY_LIVE,COMPS,ALT_LAND_CAT,TABLE,,production
113,V8_NEWYORK_NY_LIVE,COMPS,ALT_LAND_RATES,TABLE,,production
114,V8_NEWYORK_NY_LIVE,COMPS,ALT_LAND_SOIL_TYPE,TABLE,,production
115,V8_NEWYORK_NY_LIVE,COMPS,ALT_LAND_TYPE,TABLE,,production
116,V8_NEWYORK_NY_LIVE,COMPS,AMORT_EXEMPT,TABLE,,production
117,V8_NEWYORK_NY_LIVE,COMPS,AREACODE,TABLE,,production
118,V8_NEWYORK_NY_LIVE,COMPS,ASSDETAIL,TABLE,,production
119,V8_NEWYORK_NY_LIVE,COMPS,ASSDIST,TABLE,,production
120,V8_NEWYORK_NY_LIVE,COMPS,ASSHIST,TABLE,,production
121,V8_NEWYORK_NY_LIVE,COMPS,BCAT_RATES,TABLE,,production
122,V8_NEWYORK_NY_LIVE,COMPS,BLDG,TABLE,,production
123,V8_NEWYORK_NY_LIVE,COMPS,BLDGPERM,TABLE,,production
124,V8_NEWYORK_NY_LIVE,COMPS,BLOCKADJ,TABLE,,production
125,V8_NEWYORK_NY_LIVE,COMPS,BOI_CAPRATE_METHOD,TABLE,,production
126,V8_NEWYORK_NY_LIVE,COMPS,BUILDING_CATEGORY,TABLE,,production
127,V8_NEWYORK_NY_LIVE,COMPS,BUILDINGGROUP,TABLE,,production
128,V8_NEWYORK_NY_LIVE,COMPS,CALCINV,TABLE,,production
129,V8_NEWYORK_NY_LIVE,COMPS,CALCPARAM,TABLE,,production
130,V8_NEWYORK_NY_LIVE,COMPS,CHG_DETAIL,TABLE,,production
131,V8_NEWYORK_NY_LIVE,COMPS,CLJOB,TABLE,,production
132,V8_NEWYORK_NY_LIVE,COMPS,CO_BATCH,TABLE,,production
